title,author,id,date_updated,rating,pairing_type,pairings,fandoms,warnings,work_status,characters,tags,language,chapters_num,words_num,coments_num,kudos_num,bookmarks_num,hits_num
unnaturally (feels) natural,bebekuning,58046095,09 Aug 2024,Mature,M/M,Kim Sunoo/Yang Jungwon (ENHYPEN),ENHYPEN (Band),No Archive Warnings Apply,Complete Work,"Kim Sunoo (ENHYPEN), Yang Jungwon (ENHYPEN)","aboverse but make it between the omegas yeehaw, Grinding, Finger Sucking, clothed blow job(?), curious and open to new things sunoo, actively sexual jungwon (but he's struggling), pengalaman seksual nggak menyenangkan di masa lalu, this is both warm and hot (at least that's what i intended this to be), nggak ada penanda posisi spesifik (tanpa penetrasi), unreliable narrator (soalnya nggak konsisten pov siapanya), Omega Kim Sunoo (ENHYPEN), Omega Yang Jungwon (ENHYPEN), Non-Traditional Alpha/Beta/Omega Dynamics",Bahasa Indonesia,1/1,3470,1,1,0,23
The Challenge,SapphireFlames0729,58045786,09 Aug 2024,Not Rated,F/M,Park Sunghoon/Bella Swan,"ENHYPEN (Band), Twilight Series - Stephenie Meyer, Twilight Series - All Media Types",Choose Not To Use Archive Warnings,Complete Work,"Park Sunghoon (ENHYPEN), Bella Swan, Alice Cullen, Jane (Twilight), Cullen Family (Twilight), The Volturi (Twilight), Edward Cullen, Jacob Black",,English,1/1,2570,0,1,1,15
The Sequel: Valentine's Day Special,ForeverRuined,57124684,09 Aug 2024,Mature,"M/M, Multi","Nishimura Riki | Ni-ki & Everyone, Nishimura Riki | Ni-ki/Yang Jungwon, Nishimura Riki | Ni-Ki/Park Sunghoon, Nishimura Riki | Ni-ki/Sim Jaeyun | Jake, Nishimura Riki | Ni-ki/Park Jongseong | Jay, Lee Heeseung/Nishimura Riki | Ni-ki, Kim Sunoo/Nishimura Riki | Ni-ki",ENHYPEN (Band),No Archive Warnings Apply,Work in Progress,,"Alpha/Beta/Omega Dynamics, Non-Traditional Alpha/Beta/Omega Dynamics, Pack Dynamics, Pack Feels, Pack Bonding, Pack Cuddles, Pack Family, Polyamorous Pack, Wolf Pack, Domestic Bliss, Domestic Fluff, Married Couple, Married Life, Just Married, Married Characters, So Married, pup - Freeform, Pregnancy, Magical Pregnancy, Soulmates, Romantic Soulmates, Romantic Fluff, Romantic Gestures, Love, Family, Family Bonding, Family Fluff, Family Feels, Tooth-Rotting Fluff, Aged-Up Character(s), Fluff and Humor, Bottom Nishimura Riki | Ni-ki, Nishimura Riki | Ni-ki-Centric, Alpha Yang Jungwon (ENHYPEN), Alpha Park Sunghoon (ENHYPEN), Alpha Lee Heeseung, Alpha Kim Sunoo (ENHYPEN), Alpha Sim Jaeyun | Jake, Alpha Park Jongseong | Jay",English,11/?,9846,22,82,6,3146
as long as you'd like me to,tothendofthelifeline,58044982,09 Aug 2024,Explicit,M/M,Park Jongseong | Jay/Yang Jungwon,ENHYPEN (Band),No Archive Warnings Apply,Complete Work,"Park Jongseong | Jay, Yang Jungwon (ENHYPEN)","Canon Compliant, Blow Jobs, Semi-Public Sex, Tenderness, You've Heard of the Inkigayo Hook Up Sandwich Now Get Ready for the Inkigayo Disabled Toilet",English,1/1,2833,2,21,2,214
「元结62」关于人生的习惯与爱,cantslowmedown,58044517,09 Aug 2024,Not Rated,M/M,Park Jongseong | Jay/Yang Jungwon,ENHYPEN (Band),Choose Not To Use Archive Warnings,Complete Work,"Yang Jungwon (ENHYPEN), Park Jongseong | Jay","Bottom Park Jongseong | Jay, Top Yang Jungwon (ENHYPEN)",中文-普通话 國語,1/1,1689,1,4,0,23
Rewrite The Stars,minminyeon00,57052876,09 Aug 2024,General Audiences,M/M,"Han Dongmin | Taesan/Kim Donghyun | Leehan, Kim Donghyun | Leehan/Park Sungho, Lee Taeyong/Ten Chittaphon Leechaiyapornkul, Huang Ren Jun/Lee Donghyuck | Haechan, Sung Hanbin/Zhang Hao, Kim Jiwoong/Seok Matthew","BOYNEXTDOOR (Korea Band), ENHYPEN (Band), ZEROBASEONE | ZB1 (Korea Band), NCT (Band), SHINee, DRIPPIN (Korea Band)",Choose Not To Use Archive Warnings,Work in Progress,"Han Dongmin | Taesan, Kim Donghyun | Leehan, Sim Jaeyun | Jake, Park Sungho (BOYNEXTDOOR), Lee Taeyong, Kim Dongyoung | Doyoung, Ten Chittaphon Leechaiyapornkul, Huang Ren Jun, Lee Donghyuck | Haechan, Kim Jiwoong (ZEROBASEONE), Seok Matthew, Zhang Hao (ZEROBASEONE), Sung Hanbin, Kim Gyuvin, Park Gunwook, Shen Quanrui | Ricky, Moon Taeil, Choi Minho, Kim Taerae (ZEROBASEONE), Hwang Yunseong","Inspired by Game of Thrones, Inspired by House of the Dragon (TV), Westeros (A Song of Ice and Fire), Not Beta Read, Implied Mpreg, Other Additional Tags to Be Added, Other Ships Not Mentioned in Tags, Targcest | Targaryen Incest (A Song of Ice and Fire), Original Character(s), Smut, Top Han Dongmin | Taesan, Bottom Kim Donghyun | Leehan, Wargs & Warging (A Song of Ice and Fire), Weirwood Trees (A Song of Ice and Fire), Mentioned Other K-pop Artist(s), Top Park Sungho (BOYNEXTDOOR), Mpreg, Angst, Angst and Hurt/Comfort, Rough Sex",English,45/?,91219,181,128,0,2005
Messiah Complex,michelle_hyde,57786217,09 Aug 2024,Mature,M/M,"Lee Heeseung & Nishimura Riki | Ni-ki, Nishimura Riki | Ni-Ki & Park Sunghoon, Nishimura Riki | Ni-ki/Sim Jaeyun | Jake",ENHYPEN (Band),Major Character Death,Work in Progress,Nishimura Riki | Ni-ki,Bottom Nishimura Riki | Ni-ki,中文-普通话 國語,3/?,8164,0,4,0,139
honey lilac blooms,zipline,58042450,09 Aug 2024,Teen And Up Audiences,M/M,"Nishimura Riki | Ni-ki/Yang Jungwon, Lee Heeseung/Nishimura Riki | Ni-ki, Kim Sunoo/Park Jongseong | Jay",ENHYPEN (Band),Choose Not To Use Archive Warnings,Work in Progress,,"Alternate Universe, Fake Marriage, Green Card Marriage, Chef Yang Jungwon, Actor Nishimura Riki | Ni-ki, Medium Burn, Angst, Yearning, Mental Health Issues, Hurt/Comfort, Emotional Baggage, Unrequited Love, wonki are newly married government delinquents, cooking food as jungwon's ultimate love language, (sunoo is always the reason my plots exist)",English,1/6,7016,4,23,5,173
Teen Wolf,Heybae97,56490013,09 Aug 2024,Teen And Up Audiences,M/M,"Park Jongseong | Jay/Yang Jungwon, Kim Sunoo/Park Sunghoon (ENHYPEN), Kim Sunoo/Sim Jaeyun | Jake, Lee Heeseung/Park Jongseong | Jay, Nishimura Riki | Ni-ki/Yang Jungwon, Kim Sunoo (ENHYPEN)/Son Youngjae | Eric, Kim Sunwoo/Lee Jeno, Choi Yeonjun/Park Sunghoon (ENHYPEN)","ENHYPEN (Band), The Boyz (Korea Band), Aespa (Band), Red Velvet (K-pop Band), Kiss of Life (Band), TOMORROW X TOGETHER | TXT (Korea Band), TWS (Band), ATEEZ (Band)","Graphic Depictions Of Violence, Major Character Death",Complete Work,"Park Jongseong | Jay, Yang Jungwon (ENHYPEN), Kim Sunoo (ENHYPEN), Park Sunghoon (ENHYPEN), Lee Heeseung, Choi Sooyoung, Yang Hongseok, Kim Junmyeon | Suho, Yang Yoseob, Lee Juyeon (The Boyz), Choi Siwon, Kim Sunwoo (The Boyz), Yu Jimin | Karina, Nishimura Riki | Ni-ki, Son Seungwan | Wendy, Choi Minho, Lee Jeno, Son Youngjae | Eric, Kim Minjeong | Winter, Natty Anatchaya Suputtipong, Lee Donghae, Kang Seulgi, Choi Yeonjun, Shin Junghwan | Shinyu, Choi San (ATEEZ), Choi Soobin, Huening Kai, Kang Taehyun, Shin Ryujin, Jung Sungchan, Myoui Mina, Park Seonghwa, Kim Jongdae | Chen, Kim Dohoon (TWS), Lee Kyungmin, Lee Jinki | Onew, Dong Youngbae | Taeyang, Kwon Jiyong | G-Dragon, Song Mingi (ATEEZ), Shen Xiaoting, Choi Bomin, Kim Jibeom","Supernatural Elements, Werewolves, Alpha/Beta/Omega Dynamics, Murder, Unhealthy Relationships, Bromance, Banshees, Kitsune, Werecoyotes, Wendigo",English,100/100,772114,0,41,12,2974
Fatal Trouble,byunsootingz,57661618,09 Aug 2024,Not Rated,"F/F, F/M, Gen, M/M","Lee Heeseung/Park Jongseong | Jay, Kim Sunoo/Nishimura Riki | Ni-ki, Kim Sunoo/Park Sunghoon (ENHYPEN), Park Jongseong | Jay & Park Sunghoon & Sim Jaeyun | Jake, Lee Heeseung & Nishimura Riki | Ni-ki, Lee Heeseung & Yang Jungwon",ENHYPEN (Band),Graphic Depictions Of Violence,Work in Progress,"ENHYPEN Ensemble, TOMORROW X TOGETHER Ensemble, LE SSERAFIM (Band) Ensemble, ITZY Ensemble, Aespa Ensemble, NMIXX (Band) Ensemble","Alternate Universe - Hunger Games Setting, Hunger Games-Typical Death/Violence, Inspired by The Hunger Games, The Capitol (Hunger Games), Hunger Games Victors, Murder, Blood and Violence, Corruption, Mentor Park Jongseong, Tribute Lee Heeseung, its a hunger games au basically, not all of them would live but i promise, there is no mcd tag, Family Issues, Mental Instability, Post-Traumatic Stress Disorder - PTSD, Park Jongseong | Jay is Bad at Feelings, like really bad at feelings, like really intensely bad at feelings, but its okay heeseung is too, basically its a long story about two fucked up teenagers in a dystopian world, i dont know what else to put in here lol bye, Oh, Minor Character Death, War, Post-War, Not Beta Read, we die like president coin, Forced Prostitution, not that explicit tho",English,7/?,23863,13,26,4,526
